ID	chrom	loc.start	loc.end	num.mark	seg.mean
P-0000041-T01-IM3	5	117054900	180035400	313	0.0570971181022166
P-0000041-T01-IM3	5	180035464	180076500	49	-0.740908610602206
P-0000041-T01-IM3	6	393272	20490829	58	-0.455001475409267
P-0000041-T01-IM3	6	25092465	41312000	228	0.272610785306421
P-0000041-T01-IM3	6	41460290	45390658	19	1.4782665098783
P-0000041-T01-IM3	6	45459600	90009270	53	0.044472701917512
P-0000041-T01-IM3	6	90009427	170799000	417	-0.463815936318233
P-0000041-T01-IM3	7	330822	53855034	206	-0.3454661576758
P-0000041-T01-IM3	7	55086850	55273400	67	-1.20203510858276
P-0000041-T01-IM3	7	55866297	158451100	562	-0.429018939002519
P-0000041-T01-IM3	8	565232	38318800	107	-0.686483984901019
P-0000041-T01-IM3	8	38736089	48101168	10	0.755204518857023
P-0000041-T01-IM3	8	53901250	56063969	19	-0.604160105495081
P-0000041-T01-IM3	8	57013800	145743000	162	0.691409284574439
P-0000041-T01-IM3	9	421800	5754942	70	-0.837222652059562
P-0000041-T01-IM3	9	5755162	12518660	86	-1.30534073904475
P-0000041-T01-IM3	9	13731200	139566823	492	-0.606083828237693
P-0000041-T01-IM3	10	1510047	134199109	431	-0.171450733122508
P-0000041-T01-IM3	11	532596	27795588	69	-0.706927610166484
P-0000041-T01-IM3	11	30098622	35053950	30	1.2531621586796
P-0000041-T01-IM3	11	35242660	133495676	618	0.144519558591818
P-0000041-T01-IM3	12	394450	493443	59	-0.0120783141646795
P-0000041-T01-IM3	12	495045	18443800	147	0.58143203444858
P-0000041-T01-IM3	12	18444144	56491880	338	-0.329235197089449
P-0000041-T01-IM3	12	56492200	56495813	12	-0.0372446537046671
P-0000041-T01-IM3	12	58142300	69233716	54	1.86121593172493
P-0000041-T01-IM3	12	77781871	133264050	215	-0.475346592008448
P-0000041-T01-IM3	13	21004700	21619681	22	-0.220099878943816
P-0000041-T01-IM3	13	21620121	32918650	186	0.501813023526409
P-0000041-T01-IM3	13	32918900	112722417	296	0.0516889743498969
P-0000041-T01-IM3	14	20084500	105906100	255	-0.114083693664871
P-0000041-T01-IM3	15	20488892	101094404	369	-0.270415922314451
P-0000041-T01-IM3	16	115041	89883078	539	-0.31270673443431
P-0000041-T01-IM3	17	114669	21536250	241	-0.386143277183723
P-0000041-T01-IM3	17	21544470	30696400	165	0.551571918508349
P-0000041-T01-IM3	17	31030500	63314330	329	-0.60260541666194
P-0000041-T01-IM3	17	63526058	64938444	26	0.191314950735727
P-0000041-T01-IM3	17	66511600	66526741	19	1.53326516890172
P-0000041-T01-IM3	17	68920884	78728000	42	-0.0763921505873723
P-0000041-T01-IM3	17	78728100	80783100	65	-0.553206964396178
P-0000041-T01-IM3	18	724330	74463400	237	-0.236858383805348
P-0000041-T01-IM3	19	1207008	5258250	187	-0.486336223497681
P-0000041-T01-IM3	19	5260797	28788918	437	0.102446189714935
P-0000041-T01-IM3	19	28789100	58288350	221	-0.579310696394227
P-0000041-T01-IM3	20	345750	62680600	376	-0.145607612592559
P-0000041-T01-IM3	21	10995925	45660835	212	0.401696370718792
P-0000041-T01-IM3	22	16346383	49370962	295	-0.0978225364175183
P-0000041-T01-IM3	23	451000	44970807	150	-0.642478395443695
P-0000041-T01-IM3	23	47004800	50920350	68	1.02164964758053
P-0000041-T01-IM3	23	53221800	149924813	428	-0.701237049941821
P-0000057-T01-IM3	1	2488153	27097850	278	-0.300136964790761
P-0000057-T01-IM3	1	27099101	51434603	162	0.161375676072882
P-0000057-T01-IM3	1	51435977	120529700	249	-0.274158315070289
P-0000057-T01-IM3	1	120612006	245977985	403	0.172527602114741
P-0000057-T01-IM3	2	2470500	110053100	448	0.123816452035512
P-0000057-T01-IM3	2	111881300	193538820	233	-0.33201459114056
P-0000057-T01-IM3	2	193538965	242801100	276	0.167962196819671
P-0000057-T01-IM3	3	1449872	142176400	682	0.0917726680421698
P-0000057-T01-IM3	3	142176650	189525985	243	0.279925806557383
P-0000057-T01-IM3	3	189526354	197348800	43	0.120574869020427
P-0000057-T01-IM3	4	1402672	115456200	354	0.0912292617362471
P-0000057-T01-IM3	4	118610427	184234587	112	-0.319981045918752
P-0000057-T01-IM3	4	187367442	190262600	88	0.0372813255519754
P-0000057-T01-IM3	5	218503	178996554	714	0.182809798806282
P-0000057-T01-IM3	5	179545300	180076500	52	-0.51929144118927
P-0000057-T01-IM3	6	393272	398965	10	-0.136931887542442
P-0000057-T01-IM3	6	401600	37141852	221	0.264025521550318
P-0000057-T01-IM3	6	39190287	170798891	435	-0.288569124926529
P-0000057-T01-IM3	7	387556	2969508	33	0.313751069151511
P-0000057-T01-IM3	7	2969754	18170920	98	0.535817689406643
P-0000057-T01-IM3	7	18171150	70859491	131	0.0355293123530857
P-0000057-T01-IM3	7	71297372	158450965	472	-0.296391236694816
P-0000057-T01-IM3	8	565219	5498507	10	0.522119610932865
P-0000057-T01-IM3	8	6327274	38736100	87	-0.201325538110367
P-0000057-T01-IM3	8	38858350	145742879	163	0.513558339823731
P-0000057-T01-IM3	9	421980	75794763	214	-0.38094504433713
P-0000057-T01-IM3	9	79231200	139566900	371	0.083392997868077
P-0000057-T01-IM3	10	1510000	134199200	355	0.140276357271727
P-0000057-T01-IM3	11	532650	77103518	260	0.0494105755457046
P-0000057-T01-IM3	11	81185148	133495735	389	-0.238891386208324
P-0000057-T01-IM3	12	394588	31957550	277	-0.294310876996383
P-0000057-T01-IM3	12	38600000	133263825	480	0.194349145616026
P-0000057-T01-IM3	13	20989800	68931100	308	0.146885818154969
P-0000057-T01-IM3	13	71158284	114961904	158	-0.266837665559363
P-0000057-T01-IM3	14	20085050	105906073	235	0.169538261528171
P-0000057-T01-IM3	15	20488870	63995550	86	0.112543315071597
P-0000057-T01-IM3	15	66679754	101592692	237	-0.304481479748168
P-0000057-T01-IM3	16	115041	33373381	323	0.421056305588094
P-0000057-T01-IM3	16	52085700	89883000	165	-0.370831318421131
P-0000057-T01-IM3	17	114518	41320100	570	-0.325284933204341
P-0000057-T01-IM3	17	45356450	80783009	260	0.44929397170816
P-0000057-T01-IM3	18	724450	74387307	196	-0.295544029431837
P-0000057-T01-IM3	19	424400	5286169	182	-0.43568743233614
P-0000057-T01-IM3	19	7117051	10244400	44	0.43359772341954
P-0000057-T01-IM3	19	10244417	58288300	534	-0.395407431878709
P-0000057-T01-IM3	20	345750	51970961	279	0.0685573394726227
P-0000057-T01-IM3	20	51971100	62680560	56	-0.35561352786475
P-0000057-T01-IM3	21	10996025	45660835	191	-0.282168393070523
P-0000057-T01-IM3	22	16346391	49370834	264	-0.328431423770475
P-0000057-T01-IM3	23	451100	149924738	669	-0.391626768563893
P-0000058-T01-IM3	1	2487950	121484690	679	-0.15620476334274
P-0000058-T01-IM3	1	145273302	245977997	396	0.10430064352753
P-0000058-T01-IM3	2	2470500	58496350	287	-0.147636666370776
P-0000058-T01-IM3	2	59093400	61121700	7	0.903757727657646
P-0000058-T01-IM3	2	61128268	99198250	134	-0.0158441189709531
P-0000058-T01-IM3	2	99203950	125424553	106	0.516332891271744
P-0000058-T01-IM3	2	125424750	134775450	54	-0.0106349146359156
P-0000058-T01-IM3	2	135069550	242800960	344	-0.479247819118035
P-0000058-T01-IM3	3	1449872	71021550	391	0.124080531464314
P-0000058-T01-IM3	3	71021746	197348844	546	0.385922167727151
P-0000058-T01-IM3	4	1402580	6927312	30	-0.380837639382237
P-0000058-T01-IM3	4	7845389	67840400	241	0.249400520586707
P-0000058-T01-IM3	4	75662593	190262400	275	-0.50129944929978
P-0000058-T01-IM3	5	223700	44273600	195	0.188787859232088
P-0000058-T01-IM3	5	44273800	117055359	236	-0.189954384231611
P-0000058-T01-IM3	5	126841120	180076500	320	0.119894179602573
P-0000058-T01-IM3	6	393088	398965	10	-0.404020699375982
P-0000058-T01-IM3	6	401446	32191730	179	-0.0973294431843841
P-0000058-T01-IM3	6	32877173	33290825	16	0.832536880334131
P-0000058-T01-IM3	6	34617144	41460287	29	0.00282325335890115
P-0000058-T01-IM3	6	41903746	76599050	28	0.915415007355957
P-0000058-T01-IM3	6	79720867	106555347	56	-0.142584258448589
P-0000058-T01-IM3	6	116470561	170798891	332	-0.540854753024234
P-0000058-T01-IM3	7	387551	41461300	143	0.0228004277278374
P-0000058-T01-IM3	7	43288550	57669833	96	0.85735950501707
P-0000058-T01-IM3	7	57669908	128767757	180	-0.0655330006700642
P-0000058-T01-IM3	7	128829250	158450965	294	-0.494358024004591
P-0000058-T01-IM3	8	565232	70250407	128	-0.764252729095186
P-0000058-T01-IM3	8	81288925	145742879	117	0.258063759407654
P-0000058-T01-IM3	9	422100	139566900	575	0.0703510828878336
P-0000058-T01-IM3	10	1510047	42385191	51	0.884562753548031
P-0000058-T01-IM3	10	42599643	134199200	296	-0.563766081801914
P-0000058-T01-IM3	11	532602	2165173	17	0.72989494941316
P-0000058-T01-IM3	11	7206465	74401763	203	0.0817037701885834
P-0000058-T01-IM3	11	76059250	77103536	32	-0.635283389059989
P-0000058-T01-IM3	11	81185299	86333567	29	0.257903489640557
P-0000058-T01-IM3	11	86806409	100850334	45	-0.580555668420233
P-0000058-T01-IM3	11	101981913	118393000	244	-1.18250496187395
P-0000058-T01-IM3	11	119077276	133495700	69	-0.0334036423702473
P-0000058-T01-IM3	12	394600	12874277	167	0.372944608855978
P-0000058-T01-IM3	12	13685816	38601013	107	-0.247552788048187
P-0000058-T01-IM3	12	40763973	133263800	464	0.0993918548016618
P-0000058-T01-IM3	13	20847602	114961900	456	0.396818166653501
P-0000058-T01-IM3	14	20084500	81422216	119	0.242067698925936
P-0000058-T01-IM3	14	81528523	81610800	23	-0.245998270370582
P-0000058-T01-IM3	14	83401847	95599800	60	-1.00822658220264
P-0000058-T01-IM3	14	98830005	105906073	27	-0.152851820680512
P-0000058-T01-IM3	15	20488741	34638342	21	-0.338298795723738
P-0000058-T01-IM3	15	34638700	38456861	10	0.863022392856305
P-0000058-T01-IM3	15	39564166	101592692	279	-0.132327837471015
P-0000058-T01-IM3	16	115049	2222550	115	-0.121251657263411
P-0000058-T01-IM3	16	2223247	23637756	183	0.109034564781342
P-0000058-T01-IM3	16	23640400	89883000	190	-0.231290129636479
P-0000058-T01-IM3	17	114700	33818300	407	-0.56763063333357
P-0000058-T01-IM3	17	37618490	38506000	88	2.31038306883677
P-0000058-T01-IM3	17	38506200	80783009	330	-0.615493532765919
P-0000058-T01-IM3	18	724360	14157373	44	-0.613978700415367
P-0000058-T01-IM3	18	19021000	74387299	144	0.503285709142161
P-0000058-T01-IM3	19	1207037	58288169	757	-0.337618922426345
P-0000058-T01-IM3	20	345800	48451129	270	-0.170512142628445
P-0000058-T01-IM3	20	51970961	62680200	59	1.3425189371626
P-0000058-T01-IM3	21	10996001	45660700	184	-0.545968991242285
P-0000058-T01-IM3	22	16346045	17083100	14	-0.534113459925794
P-0000058-T01-IM3	22	17519625	29090150	65	1.15096053474355
P-0000058-T01-IM3	22	29091037	49370817	177	-0.606564527354927
P-0000058-T01-IM3	23	451050	32172700	44	-0.574623762081483
P-0000058-T01-IM3	23	39911300	44970550	99	0.376300224189778
P-0000058-T01-IM3	23	44970808	47046100	37	-0.563310286296888
P-0000058-T01-IM3	23	47422327	47430900	23	0.432134383183684
P-0000058-T01-IM3	23	48649500	149924738	456	-0.264302302668482
P-0000066-T01-IM3	1	2488153	14192672	159	-0.17196150326389
P-0000066-T01-IM3	1	15295906	193219950	710	0.154853540969606
P-0000066-T01-IM3	1	202188641	245977950	183	-0.0287032326688282
P-0000066-T01-IM3	2	2470569	7541750	12	-0.0235242382814802
P-0000066-T01-IM3	2	14527901	48033974	256	-0.640092742352179
P-0000066-T01-IM3	2	49394735	242982300	641	0.1509319675971
P-0000066-T01-IM3	3	1449750	197348819	913	0.0901057472050124
P-0000066-T01-IM3	4	1402650	190262350	538	0.0611350218146177
P-0000066-T01-IM3	5	218400	8453623	75	-0.101596146056993
P-0000066-T01-IM3	5	14009085	131972714	385	0.228687957858451
P-0000066-T01-IM3	5	131972954	180058874	268	-0.0549696441717945
P-0000066-T01-IM3	6	393200	39338550	223	0.160126993928144
P-0000066-T01-IM3	6	40588343	170798912	410	-0.439621714157751
P-0000066-T01-IM3	7	1270900	158451100	701	0.0208894586690842
P-0000066-T01-IM3	8	565300	68098122	122	-0.557384154217399
P-0000066-T01-IM3	8	70250407	145742879	116	1.39511602726212
P-0000066-T01-IM3	9	421900	133589636	412	0.107153394289616
P-0000066-T01-IM3	9	133589952	139566889	151	-0.221143197948741
P-0000066-T01-IM3	10	1510172	110982822	262	0.161344939573959
P-0000066-T01-IM3	10	111440222	134199150	70	-0.203818019197388
P-0000066-T01-IM3	11	532700	8852200	29	-0.617636051690195
P-0000066-T01-IM3	11	12264140	47286290	64	1.02894512379779
P-0000066-T01-IM3	11	61197650	67202616	73	-0.212291886094798
P-0000066-T01-IM3	11	68758509	69514187	15	1.41612387573916
P-0000066-T01-IM3	11	69514408	71992260	31	0.746082874178821
P-0000066-T01-IM3	11	74401637	133495663	409	-0.511564134532468
P-0000066-T01-IM3	12	394708	4947332	91	-0.572129353322728
P-0000066-T01-IM3	12	9848317	12874277	73	0.284371767976742
P-0000066-T01-IM3	12	13685700	31950700	98	-0.479220300867357
P-0000066-T01-IM3	12	31957381	115109906	335	0.12130230976867
P-0000066-T01-IM3	12	115110151	115121006	16	0.590044155552521
P-0000066-T01-IM3	12	117838929	129468950	27	-0.110357904469148
P-0000066-T01-IM3	12	130962270	133263825	81	-0.16049407717153
P-0000066-T01-IM3	13	20847602	21620250	24	-0.84773686416815
P-0000066-T01-IM3	13	25694340	26978200	26	-0.0339804760077374
P-0000066-T01-IM3	13	28578221	114961822	394	-0.527045834004507
P-0000066-T01-IM3	14	20085100	36991229	26	-0.0884437004334102
P-0000066-T01-IM3	14	38055123	38068119	13	0.729044595482635
P-0000066-T01-IM3	14	38345849	105259026	180	0.168997154108943
P-0000066-T01-IM3	15	20488874	101592684	307	0.0442757470001503
P-0000066-T01-IM3	16	115072	33372658	317	-0.0677714907903308
P-0000066-T01-IM3	16	33373250	89883007	160	-0.788407792942465
P-0000066-T01-IM3	17	114600	21544646	215	-0.553335491723378
P-0000066-T01-IM3	17	21809394	80783009	590	0.0294048487332275
P-0000066-T01-IM3	18	724300	74387299	183	0.0798611425051421
P-0000066-T01-IM3	19	424450	1272011	19	-0.295369623376022
P-0000066-T01-IM3	19	2164292	3148683	74	-0.745431533701966
P-0000066-T01-IM3	19	4090572	39538650	477	-0.252866195583591
P-0000066-T01-IM3	19	40739721	42799098	95	0.325836860218674
P-0000066-T01-IM3	19	45854975	58288250	77	-0.279873728474145
P-0000066-T01-IM3	20	345800	25080500	46	-0.603003704508705
P-0000066-T01-IM3	20	25733334	62680265	268	0.422264203158074
P-0000066-T01-IM3	21	10996028	45660750	171	0.0548813957212763
P-0000066-T01-IM3	22	16346391	24176800	65	0.460092387050487
P-0000066-T01-IM3	22	25494744	49370799	189	-0.654273804333445
P-0000066-T01-IM3	23	451050	149924738	652	-0.072022850818019
P-0000066-T02-IM5	1	2488153	4955863	21	0.00396926859962621
P-0000066-T02-IM5	1	7434544	115252450	542	-0.497565262099755
P-0000066-T02-IM5	1	115256400	245977950	488	-0.0114904497258676
P-0000066-T02-IM5	2	2470569	7541750	12	0.216547891547034
P-0000066-T02-IM5	2	14527901	48033829	255	-0.625219600644176
P-0000066-T02-IM5	2	48033974	113690596	198	-0.190953167736811
P-0000066-T02-IM5	2	113690850	120048729	54	1.27909849308135
P-0000066-T02-IM5	2	125301502	242982300	390	0.0858900789000659
P-0000066-T02-IM5	3	1449750	47108515	190	-0.112640449682142
P-0000066-T02-IM5	3	47108749	88892638	258	-0.470379191173611
P-0000066-T02-IM5	3	89156959	197348819	465	0.18323733230509
P-0000066-T02-IM5	4	1402650	190262350	537	0.0230277813119437
P-0000066-T02-IM5	5	218400	131954050	459	0.277947505443911
P-0000066-T02-IM5	5	131972714	180058874	269	-0.187412516691752
P-0000066-T02-IM5	6	393200	40588343	224	0.0164448034166382
P-0000066-T02-IM5	6	41311800	170798912	408	-0.21157480297049
P-0000066-T02-IM5	7	1270900	19616560	128	-0.558746263678623
P-0000066-T02-IM5	7	22987396	81335100	137	0.0385839521302275
P-0000066-T02-IM5	7	81335711	140481300	188	-0.215631193639467
P-0000066-T02-IM5	7	140481642	140501244	71	0.672489050704576
P-0000066-T02-IM5	7	140501400	158451100	177	-0.492805816252997
P-0000066-T02-IM5	8	565300	38318750	85	-0.287928807985596
P-0000066-T02-IM5	8	38736069	145742879	153	0.77409797074665
P-0000066-T02-IM5	9	421900	135782850	463	-0.282400403896989
P-0000066-T02-IM5	9	135786013	139566889	100	0.615889581274689
P-0000066-T02-IM5	10	1510172	134199150	331	-0.0769844979015748
P-0000066-T02-IM5	11	532700	15271190	32	-0.30800757598651
P-0000066-T02-IM5	11	15511476	77085415	204	-0.00508151637564497
P-0000066-T02-IM5	11	77085500	133495663	385	-0.479021754182479
P-0000066-T02-IM5	12	394708	12006453	101	-0.495694954307436
P-0000066-T02-IM5	12	12006600	12037466	49	1.42550226100302
P-0000066-T02-IM5	12	12037600	133263825	571	-0.127889083903127
P-0000066-T02-IM5	13	20847602	28578221	51	-0.309828226511021
P-0000066-T02-IM5	13	28578372	32507550	106	-0.821474815701054
P-0000066-T02-IM5	13	32747242	114961822	287	-0.0863064968829565
P-0000066-T02-IM5	14	20085100	105259026	219	-0.101178298506284
P-0000066-T02-IM5	15	20488874	101592684	307	-0.196216901189966
P-0000066-T02-IM5	16	115072	52085593	319	0.14827816675291
P-0000066-T02-IM5	16	55329601	89883007	158	-0.60177520581013
P-0000066-T02-IM5	17	114600	80783009	799	-0.0724558857695775
P-0000066-T02-IM5	18	724300	74387299	183	-0.235352103966477
P-0000066-T02-IM5	19	424450	58288250	742	-0.0426721521266451
P-0000066-T02-IM5	20	345800	62680265	314	0.144231096391518
P-0000066-T02-IM5	21	10996028	45660750	171	0.158473274433823
P-0000066-T02-IM5	22	16346391	49370799	254	-0.274189592609273
P-0000066-T02-IM5	23	451050	47429345	195	-0.474550647801214
P-0000066-T02-IM5	23	47429550	70362100	189	-1.00146222488925
P-0000066-T02-IM5	23	71788730	149924738	268	-0.441052335749141
P-0000075-T01-IM3	1	2487950	2494574	16	0.499098185694417
P-0000075-T01-IM3	1	2494850	16265904	214	0.0107609658631552
P-0000075-T01-IM3	1	17012241	30795027	73	-0.676094581365566
P-0000075-T01-IM3	1	33133000	121484672	383	0.0631203423285761
P-0000075-T01-IM3	1	121484899	150552700	16	1.01587576393583
P-0000075-T01-IM3	1	152330872	190734200	162	0.426315157120955
P-0000075-T01-IM3	1	193091321	245978038	219	0.804489525961738
P-0000075-T01-IM3	2	4716987	242982358	950	0.0162889506499938
P-0000075-T01-IM3	3	1449872	30648429	73	-0.0441446213866646
P-0000075-T01-IM3	3	30648600	89905924	436	-0.675683644224983
P-0000075-T01-IM3	3	94429191	162769497	276	0.405399346858024
P-0000075-T01-IM3	3	164564500	197348786	168	0.892424191932294
P-0000075-T01-IM3	4	1402650	41753200	63	-0.704944095535778
P-0000075-T01-IM3	4	46047341	82932359	217	0.284587668565862
P-0000075-T01-IM3	4	83492850	124344850	79	-0.565611061126175
P-0000075-T01-IM3	4	130125343	190262486	193	0.277068881930454
P-0000075-T01-IM3	5	218400	30031874	95	-0.776957697103745
P-0000075-T01-IM3	5	31061463	96383880	274	0.124921809767741
P-0000075-T01-IM3	5	97303834	180076500	385	0.459390420097657
P-0000075-T01-IM3	6	393088	170798891	655	0.0451460439447679
P-0000075-T01-IM3	7	1672601	158451100	713	0.0318333479003162
P-0000075-T01-IM3	8	565232	31397850	59	-0.736871599261657
P-0000075-T01-IM3	8	36092447	139766478	169	0.258983902917427
P-0000075-T01-IM3	8	141840739	145742950	28	-0.163159316600545
P-0000075-T01-IM3	9	421860	20782100	152	-0.330340480459467
P-0000075-T01-IM3	9	21968250	139566823	432	-0.0317768046592029
P-0000075-T01-IM3	10	1509981	134199150	356	0.0491439262460402
P-0000075-T01-IM3	11	532700	30254650	62	-0.635588284522269
P-0000075-T01-IM3	11	32410550	35242907	27	0.380803197767807
P-0000075-T01-IM3	11	35243042	64577393	65	0.0254176292647327
P-0000075-T01-IM3	11	64577550	94226062	174	0.455339140894489
P-0000075-T01-IM3	11	99322321	133495663	320	-0.739846322297297
P-0000075-T01-IM3	12	394490	38600309	279	-0.69987079506304
P-0000075-T01-IM3	12	38600755	133263825	472	-0.00261452308431782
P-0000075-T01-IM3	13	21004738	21620250	24	-0.88202663021077
P-0000075-T01-IM3	13	25694435	32971297	208	-0.0910910762874632
P-0000075-T01-IM3	13	32972250	112722387	232	0.334326540519585
P-0000075-T01-IM3	14	20085023	105906073	231	0.0397719037041333
P-0000075-T01-IM3	15	20488892	78164805	151	-0.784389226074563
P-0000075-T01-IM3	15	87255748	95792273	115	-0.0832477006575748
P-0000075-T01-IM3	15	97476082	99861700	52	0.701804826356792
P-0000075-T01-IM3	16	115041	14042247	284	0.130977310191692
P-0000075-T01-IM3	16	18821043	79980550	119	-0.193148736070452
P-0000075-T01-IM3	16	80160645	89883078	83	0.196776276921832
P-0000075-T01-IM3	17	114669	16097953	193	-0.744557307256876
P-0000075-T01-IM3	17	17117050	80783009	622	0.0273090179647966
P-0000075-T01-IM3	18	724360	74387299	197	0.286463932182323
P-0000075-T01-IM3	19	1207008	17943766	496	-0.842494333278426
P-0000075-T01-IM3	19	17945331	19261731	63	-0.473397309571425
P-0000075-T01-IM3	19	28780462	58288300	204	-0.0909265851571144
P-0000075-T01-IM3	20	345864	62680300	331	-0.0308467661099479
P-0000075-T01-IM3	21	10996025	20195202	20	-1.40912325838229
P-0000075-T01-IM3	21	27340301	45660835	166	0.153218770738833
P-0000075-T01-IM3	22	16346327	49370759	255	-0.787812411772222
P-0000075-T01-IM3	23	451150	149924738	653	-0.149269986095799
P-0000081-T01-IM3	1	1001177	27107252	317	-0.0798818177573998
P-0000081-T01-IM3	1	27533700	35013586	15	-1.90102456667144
P-0000081-T01-IM3	1	35013700	156845677	494	0.086570755250963
P-0000081-T01-IM3	1	156846200	193219950	167	0.709697202669537
P-0000081-T01-IM3	1	199417350	204316200	13	-4.68418344516814
P-0000081-T01-IM3	1	204494600	247249250	198	0.62555034665851
P-0000081-T01-IM3	2	4561747	38467256	199	0.110219254729741
P-0000081-T01-IM3	2	39212921	46611650	32	-6.82402798680201
P-0000081-T01-IM3	2	47257793	79525150	176	0.14126889286296
P-0000081-T01-IM3	2	81423424	81428200	5	-7.03962198293412
P-0000081-T01-IM3	2	82017300	99373720	73	0.189788005629408
P-0000081-T01-IM3	2	99373900	113690800	52	-0.572673804025985
P-0000081-T01-IM3	2	113691089	113994250	64	-2.74890838415198
P-0000081-T01-IM3	2	119592997	173914813	87	-0.410896108598021
P-0000081-T01-IM3	2	178095425	242982324	340	0.244766601420428
P-0000081-T01-IM3	3	1449841	49406080	265	0.312204444247512
P-0000081-T01-IM3	3	49412915	52438100	23	-1.24021619675943
P-0000081-T01-IM3	3	52438432	195702938	714	0.177824017758862
P-0000081-T01-IM3	3	195706686	197354700	11	-1.92986981182127
P-0000081-T01-IM3	4	1402580	1809025	28	0.139701127975108
P-0000081-T01-IM3	4	1905839	19815650	19	-4.84370965505234
P-0000081-T01-IM3	4	20891199	190262408	535	0.263541092724193
P-0000081-T01-IM3	5	218500	31407139	109	-0.101322485607586
P-0000081-T01-IM3	5	31448600	34605325	13	-1.89853901101274
P-0000081-T01-IM3	5	35857177	79172252	211	0.371697105297419
P-0000081-T01-IM3	5	79952326	80169200	15	-7.87122092095849
P-0000081-T01-IM3	5	86564379	180526950	470	0.0838627333864653
P-0000081-T01-IM3	6	393107	26184102	106	0.220773356700917
P-0000081-T01-IM3	6	26184308	29236450	43	-2.4121334439816
P-0000081-T01-IM3	6	29692032	29974805	14	-6.77164888766337
P-0000081-T01-IM3	6	30668247	31053400	38	0.157891939767498
P-0000081-T01-IM3	6	31237087	31345700	11	-5.49641609930348
P-0000081-T01-IM3	6	31359023	32191730	62	-0.0835691137886269
P-0000081-T01-IM3	6	32798548	32820255	4	-8.43018834074318
P-0000081-T01-IM3	6	32877073	93108691	119	0.0571615308490429
P-0000081-T01-IM3	6	93964319	99283300	13	-5.62587113157311
P-0000081-T01-IM3	6	100302300	106554729	27	0.252798676673558
P-0000081-T01-IM3	6	106555120	112024290	16	-5.47204294228922
P-0000081-T01-IM3	6	116470561	117650483	52	-0.983160266325612
P-0000081-T01-IM3	6	117650900	117662000	18	-3.4786139136946
P-0000081-T01-IM3	6	117662400	170871100	289	0.120479492997466
P-0000081-T01-IM3	7	330745	158628009	783	-0.0703456262982607
P-0000081-T01-IM3	8	565232	66632100	162	-0.285420564943585
P-0000081-T01-IM3	8	68098100	87558400	19	-3.35657279554989
P-0000081-T01-IM3	8	90282897	146186476	124	0.0419425467308229
P-0000081-T01-IM3	9	421980	139820421	634	0.149191851790813
